# Energy shift = 1.04
# a_1: -0.106 +- 0.034, a_0: 0.0 +- 1.4, domain: [12.100000000000001eV ,14.469999999999999eV]
# Y-offset = 0.0+-0.0052, AE = 16.0652+-2.8673, Scale Factor = 0.0496+-0.2407, Alpha = 1.4778+-4.572
# Y-offset = 0.0049+-0.0159, AE = 18.8183+-0.5533, Scale Factor = 0.1198+-0.1117, Alpha = 1.581+-0.7823
# Y-offset = 0.0+-0.0174, AE = 21.6965+-0.2306, Scale Factor = 0.3766+-0.1127, Alpha = 1.2489+-0.1986
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)	Fit 4(incl. prev.)
27.340000	21.180000	1.287663	21.696671	0.151945	4.609832	13.501704	21.696671
27.410000	23.100000	1.282459	21.981070	0.152605	4.651442	13.658978	21.981070
27.490000	21.670000	1.216475	22.307392	0.153359	4.699146	13.839540	22.307392
27.560000	22.090000	1.249487	22.594052	0.154019	4.741015	13.998246	22.594052
27.640000	20.800000	1.222129	22.922943	0.154772	4.789013	14.180439	22.922943
27.710000	23.530000	1.390644	23.211836	0.155432	4.831139	14.340567	23.211836
27.790000	22.760000	1.288264	23.543267	0.156186	4.879430	14.524380	23.543267
27.860000	22.510000	1.287439	23.835260	0.156846	4.921811	14.686811	23.835260
27.940000	24.010000	1.359154	24.169197	0.157600	4.970392	14.872229	24.169197
28.010000	24.380000	1.367975	24.462483	0.158259	5.013027	15.035170	24.462483
28.090000	24.610000	1.400992	24.798904	0.159013	5.061897	15.222186	24.798904
28.160000	24.130000	1.311766	25.094351	0.159673	5.104784	15.386520	25.094351
28.240000	24.630000	1.384533	25.433230	0.160427	5.153940	15.575123	25.433230
28.310000	24.170000	1.298157	25.730816	0.161087	5.197077	15.740841	25.730816
28.390000	24.790000	1.305320	26.072127	0.161841	5.246519	15.931020	26.072127
28.460000	25.420000	1.480147	26.372270	0.162500	5.289905	16.098113	26.372270
28.540000	25.550000	1.391429	26.715984	0.163254	5.339630	16.289858	26.715984
28.610000	26.090000	1.597254	27.017780	0.163914	5.383262	16.458316	27.017780
28.690000	24.830000	1.348707	27.363877	0.164668	5.433269	16.651617	27.363877
28.760000	26.220000	1.350969	27.667748	0.165328	5.477147	16.821433	27.667748
28.840000	27.020000	1.494990	28.016205	0.166082	5.527433	17.016280	28.016205
28.910000	26.550000	1.460642	28.322131	0.166741	5.571555	17.187445	28.322131
28.990000	26.730000	1.460332	28.672927	0.167495	5.622119	17.383828	28.672927
29.060000	26.780000	1.490542	28.980889	0.168155	5.666483	17.556333	28.980889
29.140000	27.720000	1.511958	29.334000	0.168909	5.717323	17.754244	29.334000
29.210000	27.580000	1.498077	29.643979	0.169569	5.761929	17.928080	29.643979
29.290000	27.980000	1.481417	29.999385	0.170323	5.813044	18.127508	29.999385
29.360000	28.080000	1.578397	30.311363	0.170982	5.857889	18.302669	30.311363
29.440000	27.280000	1.572837	30.669043	0.171736	5.909276	18.503606	30.669043
29.510000	27.910000	1.494195	30.983001	0.172396	5.954360	18.680082	30.983001
29.590000	29.830000	1.615181	31.343200	0.173150	6.006283	18.882783	31.343200
29.660000	28.960000	1.462800	31.659121	0.173809	6.051602	19.060567	31.659121
29.740000	29.510000	1.681993	32.021289	0.174563	6.103530	19.264494	32.021289
29.810000	28.940000	1.499988	32.339157	0.175223	6.149085	19.443579	32.339157
29.890000	29.410000	1.632672	32.703541	0.175977	6.201281	19.648987	32.703541
29.960000	30.590000	1.742705	33.023340	0.176637	6.247070	19.829366	33.023340
30.040000	30.210000	1.628330	33.389920	0.177391	6.299533	20.036249	33.389920
30.110000	30.880000	1.607313	33.712625	0.178050	6.345555	20.218904	33.712625
30.190000	29.540000	1.590875	34.081381	0.178804	6.398283	20.427249	34.081381
30.260000	30.260000	1.686038	34.404991	0.179464	6.444536	20.610190	34.404991
30.340000	30.620000	1.596733	34.775909	0.180218	6.497529	20.819993	34.775909
30.410000	30.760000	1.704706	35.101403	0.180878	6.544012	21.004206	35.101403
30.490000	31.810000	1.794307	35.474466	0.181632	6.597266	21.215459	35.474466
30.560000	32.060000	1.712999	35.801828	0.182291	6.643979	21.400936	35.801828
30.640000	30.970000	1.607075	36.177019	0.183045	6.697494	21.613631	36.177019
30.710000	31.280000	1.810363	36.506692	0.183705	6.744434	21.800367	36.506692
30.790000	31.890000	1.633028	36.883991	0.184459	6.798209	22.014495	36.883991
30.860000	31.250000	1.753019	37.215046	0.185119	6.845375	22.202483	37.215046
30.940000	32.210000	1.543716	37.594440	0.185873	6.899408	22.418038	37.594440
31.010000	33.310000	1.902561	37.927322	0.186532	6.946800	22.607270	37.927322
