# Energy shift = 0.0
# Y-offset = 0.0006+-0.0022 AE = 8.993+-0.0878 Scale Factor = 0.3018+-0.0481 Alpha = 1.4523+-0.2115
# Y-offset = 0.0+-0.0713 AE = 12.5456+-0.0522 Scale Factor = 6.7934+-0.5653 Alpha = 1.3998+-0.1094
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2
13.220000	18.240000	2.172291	16.050198	6.140887	9.909310
13.250000	22.320000	4.196898	16.727220	6.204253	10.522968
13.280000	20.200000	2.860070	17.415214	6.267821	11.147393
13.310000	18.320000	1.275442	18.113895	6.331590	11.782305
13.340000	21.440000	2.501225	18.823002	6.395560	12.427442
13.370000	20.160000	1.115477	19.542289	6.459731	13.082558
13.400000	20.560000	1.218576	20.271525	6.524101	13.747424
13.430000	19.880000	1.291709	21.010494	6.588669	14.421825
13.460000	21.520000	1.078607	21.758993	6.653435	15.105558
13.490000	21.880000	1.242462	22.516830	6.718398	15.798432
13.520000	23.520000	1.380504	23.283822	6.783558	16.500264
13.550000	22.920000	1.708529	24.059798	6.848914	17.210884
13.580000	24.360000	1.275856	24.844593	6.914464	17.930129
13.610000	25.160000	1.299957	25.638052	6.980209	18.657843
13.640000	26.800000	1.254751	26.440026	7.046147	19.393879
13.670000	28.800000	2.414622	27.250374	7.112278	20.138096
13.700000	28.240000	1.514347	28.068960	7.178602	20.890358
13.730000	27.280000	1.477035	28.895655	7.245117	21.650538
13.760000	30.760000	1.991092	29.730335	7.311823	22.418513
13.790000	32.240000	1.367789	30.572881	7.378719	23.194162
13.820000	30.400000	1.621851	31.423178	7.445804	23.977374
13.850000	32.360000	1.727602	32.281117	7.513079	24.768038
13.880000	33.000000	2.042939	33.146592	7.580542	25.566050
13.910000	31.720000	1.685714	34.019501	7.648193	26.371309
13.940000	33.200000	1.249640	34.899747	7.716030	27.183716
13.970000	35.360000	1.980255	35.787234	7.784054	28.003179
14.000000	39.560000	3.291341	36.681870	7.852264	28.829606
14.030000	42.160000	3.935008	37.583569	7.920659	29.662910
14.060000	40.880000	2.263562	38.492244	7.989239	30.503006
14.090000	56.480000	10.860359	39.407813	8.058002	31.349811
14.120000	42.840000	3.526399	40.330195	8.126949	32.203246
14.150000	41.080000	2.718358	41.259314	8.196079	33.063235
14.180000	45.160000	2.533671	42.195093	8.265390	33.929703
14.210000	41.720000	2.116609	43.137461	8.334884	34.802577
14.240000	43.360000	1.902790	44.086346	8.404559	35.681787
14.270000	46.880000	2.279059	45.041679	8.474414	36.567265
14.300000	47.280000	1.838921	46.003394	8.544449	37.458945
14.330000	50.240000	2.341036	46.971425	8.614663	38.356762
14.360000	54.200000	3.672274	47.945710	8.685056	39.260654
14.390000	48.160000	2.062108	48.926186	8.755627	40.170559
14.420000	49.160000	1.828739	49.912795	8.826376	41.086418
14.450000	50.560000	1.938280	50.905477	8.897303	42.008174
14.480000	51.200000	2.050561	51.904176	8.968406	42.935770
14.510000	53.880000	1.779357	52.908836	9.039685	43.869151
14.540000	53.680000	2.076428	53.919403	9.111139	44.808264
14.570000	53.520000	1.553896	54.935825	9.182769	45.753056
14.600000	56.880000	2.541282	55.958049	9.254573	46.703476
14.630000	54.560000	1.902453	56.986026	9.326551	47.659475
14.660000	56.560000	2.317958	58.019707	9.398703	48.621003
14.690000	61.960000	2.241778	59.059042	9.471028	49.588014
14.720000	59.400000	1.909345	60.103987	9.543525	50.560461
14.750000	60.080000	2.026986	61.154494	9.616195	51.538299
14.780000	60.240000	1.932989	62.210519	9.689036	52.521483
14.810000	58.480000	1.605550	63.272017	9.762048	53.509970
14.840000	59.720000	1.685714	64.338947	9.835230	54.503716
14.870000	64.120000	1.976186	65.411265	9.908583	55.502682
14.900000	64.280000	2.096099	66.488930	9.982105	56.506825
14.930000	68.520000	2.294906	67.571903	10.055796	57.516107
14.960000	64.600000	2.365248	68.660144	10.129656	58.530487
14.990000	66.520000	2.427713	69.753613	10.203685	59.549928
15.020000	69.880000	2.221646	70.852273	10.277881	60.574393
15.050000	69.480000	2.009426	71.956087	10.352244	61.603843
15.080000	68.440000	2.574515	73.065018	10.426774	62.638244
